"N_total","T_total","predictor.type","outcome.type","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.independence2_g.10_bias","g.ar12_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias"
100,5,"binary","binary",0,0,1.5,0,0,1,TRUE,0.006,0.006,NA,0.006,NA,-0.009,-0.008,NA,NA,NA,NA,NA,NA,NA,NA
200,5,"binary","binary",0,0,1.5,0,0,1,TRUE,0.038,0.038,NA,0.038,NA,0.025,0.025,NA,NA,NA,NA,NA,NA,NA,NA
100,20,"binary","binary",0,0,1.5,0,0,1,TRUE,0.006,0.006,NA,0.006,NA,0.002,0.002,NA,NA,NA,NA,NA,NA,NA,NA
200,20,"binary","binary",0,0,1.5,0,0,1,TRUE,0.013,0.013,NA,0.013,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
100,5,"continuous","binary",0,0,1.5,0,0,1,TRUE,0.055,0.055,NA,0.055,NA,0.033,0.033,NA,NA,NA,NA,NA,NA,NA,NA
200,5,"continuous","binary",0,0,1.5,0,0,1,TRUE,0.019,0.019,NA,0.019,NA,0.005,0.005,NA,NA,NA,NA,NA,NA,NA,NA
100,20,"continuous","binary",0,0,1.5,0,0,1,TRUE,-0.001,-0.001,NA,-0.001,NA,-0.006,-0.005,NA,NA,NA,NA,NA,NA,NA,NA
200,20,"continuous","binary",0,0,1.5,0,0,1,TRUE,0.01,0.01,NA,0.01,NA,0.007,0.007,NA,NA,NA,NA,NA,NA,NA,NA
100,5,"binary","continuous",0,0,1.5,0,0,1,TRUE,0.015,0.015,NA,0.015,NA,0.014,0.014,NA,NA,NA,NA,NA,NA,NA,NA
200,5,"binary","continuous",0,0,1.5,0,0,1,TRUE,-0.001,-0.001,NA,-0.001,NA,-0.002,-0.002,NA,NA,NA,NA,NA,NA,NA,NA
100,20,"binary","continuous",0,0,1.5,0,0,1,TRUE,0.001,0.001,NA,0.001,NA,0.001,0.001,NA,NA,NA,NA,NA,NA,NA,NA
200,20,"binary","continuous",0,0,1.5,0,0,1,TRUE,-0.001,-0.001,NA,-0.001,NA,-0.001,-0.001,NA,NA,NA,NA,NA,NA,NA,NA
100,5,"continuous","continuous",0,0,1.5,0,0,1,TRUE,-0.006,-0.006,NA,-0.006,NA,-0.006,-0.006,NA,NA,NA,NA,NA,NA,NA,NA
